-----+-------- NALU Table ------+---------+
 NUM |    POS  |    IDC |  TYPE |   LEN   |
-----+---------+--------+-------+---------+
    0|        0| HIGHEST|    SPS|       25|
    1|       29| HIGHEST|    PPS|        6|
    2|       39|  DISPOS|    SEI|      686|
    3|      728| HIGHEST|    IDR|    14710|
    4|    15441|    HIGH|  SLICE|     6575|
    5|    22020|  DISPOS|  SLICE|     2084|
    6|    24108|    HIGH|  SLICE|     6622|
    7|    30734|  DISPOS|  SLICE|     2216|
    8|    32954|    HIGH|  SLICE|     6490|
    9|    39448|  DISPOS|  SLICE|     2124|
   10|    41576|    HIGH|  SLICE|     6662|
   11|    48242|  DISPOS|  SLICE|     2221|
   12|    50467|    HIGH|  SLICE|     5894|
   13|    56365|  DISPOS|  SLICE|     2049|
   14|    58418|    HIGH|  SLICE|     5085|
   15|    63507|    HIGH|  SLICE|     7189|
   16|    70700|  DISPOS|  SLICE|     2422|
   17|    73126|    HIGH|  SLICE|     6953|
   18|    80083|  DISPOS|  SLICE|     2561|
   19|    82648|    HIGH|  SLICE|     6689|
   20|    89341|  DISPOS|  SLICE|     2197|
   21|    91542|    HIGH|  SLICE|     6307|
   22|    97853|  DISPOS|  SLICE|     1972|
   23|    99829|    HIGH|  SLICE|     6841|
   24|   106674|  DISPOS|  SLICE|     1986|
   25|   108664|    HIGH|  SLICE|     5435|
   26|   114103|    HIGH|  SLICE|      354|
   27|   114461|    HIGH|  SLICE|     6183|
   28|   120648|  DISPOS|  SLICE|     2381|
   29|   123033|    HIGH|  SLICE|     5873|
   30|   128910|  DISPOS|  SLICE|     1836|
   31|   130750|    HIGH|  SLICE|     5911|
   32|   136665|  DISPOS|  SLICE|     1892|
   33|   138561|    HIGH|  SLICE|     6124|
   34|   144689|  DISPOS|  SLICE|     1996|
   35|   146689|    HIGH|  SLICE|     6196|
   36|   152889|  DISPOS|  SLICE|     2070|
   37|   154963|    HIGH|  SLICE|     6131|
   38|   161098|  DISPOS|  SLICE|     1916|
   39|   163018|    HIGH|  SLICE|     5650|
   40|   168672|  DISPOS|  SLICE|     1666|
   41|   170342|    HIGH|  SLICE|     5837|
   42|   176183|  DISPOS|  SLICE|     1576|
   43|   177763|    HIGH|  SLICE|     5928|
   44|   183695|  DISPOS|  SLICE|     1622|
   45|   185321|    HIGH|  SLICE|     6071|
   46|   191396|  DISPOS|  SLICE|     1917|
   47|   193317|    HIGH|  SLICE|     5973|
   48|   199294|  DISPOS|  SLICE|     1628|
   49|   200926|    HIGH|  SLICE|     6161|
   50|   207091|  DISPOS|  SLICE|     1634|
   51|   208729|    HIGH|  SLICE|      384|
   52|   209117|    HIGH|  SLICE|     5994|
   53|   215115|  DISPOS|  SLICE|     1853|
   54|   216972|    HIGH|  SLICE|     5870|
   55|   222846|  DISPOS|  SLICE|     1675|
   56|   224525|    HIGH|  SLICE|     5564|
   57|   230093|  DISPOS|  SLICE|     1623|
   58|   231720|    HIGH|  SLICE|     5448|
   59|   237172|  DISPOS|  SLICE|     1535|
   60|   238711|    HIGH|  SLICE|     5666|
   61|   244381|  DISPOS|  SLICE|     1443|
   62|   245828|    HIGH|  SLICE|     5292|
   63|   251124|  DISPOS|  SLICE|     1730|
   64|   252858|    HIGH|  SLICE|     5226|
   65|   258088|  DISPOS|  SLICE|     1484|
   66|   259576|    HIGH|  SLICE|     5175|
   67|   264755|  DISPOS|  SLICE|     1748|
   68|   266507|    HIGH|  SLICE|     5500|
   69|   272011|  DISPOS|  SLICE|     2007|
   70|   274022|    HIGH|  SLICE|     5220|
   71|   279246|  DISPOS|  SLICE|     1941|
   72|   281191|    HIGH|  SLICE|     3989|
   73|   285184|    HIGH|  SLICE|     3913|
   74|   289101|    HIGH|  SLICE|     6037|
   75|   295142|  DISPOS|  SLICE|     2009|
   76|   297155|    HIGH|  SLICE|      266|
   77|   297425|    HIGH|  SLICE|     3675|
   78|   301104|  DISPOS|  SLICE|     2068|
   79|   303176| HIGHEST|    SPS|       25|
   80|   303205| HIGHEST|    PPS|        6|
   81|   303215| HIGHEST|    IDR|    17926|
   82|   321144|    HIGH|  SLICE|     4500|
   83|   325648|  DISPOS|  SLICE|     2006|
   84|   327658|    HIGH|  SLICE|     4544|
   85|   332206|  DISPOS|  SLICE|     1849|
   86|   334059|    HIGH|  SLICE|     5202|
   87|   339265|  DISPOS|  SLICE|     2030|
   88|   341299|    HIGH|  SLICE|     4917|
   89|   346220|  DISPOS|  SLICE|     1960|
   90|   348184|    HIGH|  SLICE|     4899|
   91|   353087|  DISPOS|  SLICE|     1874|
   92|   354965|    HIGH|  SLICE|     7112|
   93|   362081|  DISPOS|  SLICE|     3142|
   94|   365227|    HIGH|  SLICE|     6321|
   95|   371552|  DISPOS|  SLICE|     2460|
   96|   374016|    HIGH|  SLICE|     5508|
   97|   379528|  DISPOS|  SLICE|     1884|
   98|   381416|    HIGH|  SLICE|     4534|
   99|   385954|    HIGH|  SLICE|     8049|
  100|   394007|  DISPOS|  SLICE|     3659|
  101|   397670|    HIGH|  SLICE|     6294|
  102|   403968|  DISPOS|  SLICE|     1826|
  103|   405798|    HIGH|  SLICE|     4852|
  104|   410654|  DISPOS|  SLICE|      130|
  105|   410788|    HIGH|  SLICE|     4431|
  106|   415223|    HIGH|  SLICE|     5468|
  107|   420695|  DISPOS|  SLICE|     1886|
